ID,official_name,type,text_subchapters,illustrations,synonyms,Label
ID122,Nocheztli,plant,06c,,,Nochtli/prickly pear
ID123,Nochtli,plant,11a,,,Nochtli/prickly pear
ID124,Teo-nochtli,plant,05c,p028_01,,Nochtli/prickly pear; Teo/divine
ID125,Tlaloc-nochtli,plant,,p090_01,,Nochtli/prickly pear
ID126,Nonochton azcapanixua,plant,07c,,nonochton,NA
ID127,Nopalli,plant,09p,,nohpalli,Nopalli/nopal
ID128,Papalo-quilitl,plant,06a; 07b; 09q; 10f,,,Papalo/butterfly; Quilitl/edible green
ID129,Patlahuac tzitzicaztli,plant,09k,,,NA
ID130,Piciyetl,plant,07l; 09h,,pizietl,NA
ID131,Piltzinte-couh-xochitl,plant,08f; 08j,p062_01; p067_02,piltzin-tecouh-xochitl; pilzinte-couh xochitl chiyaua,Xochitl/flower
ID132,Pozahualiz-xiuhtontli,plant,11d,p110_01,,"Xihuitl/herbs, green leaves"
ID133,Quappo-quietl,plant,08f,p062_02,,NA
ID134,Quauh-alahuac,plant,11a; 11c,p106_01,,Quahuitl/tree or wood
ID135,Quauh-yayahual,plant,09g; 10b,p095_01,quauh yayahual,Quahuitl/tree or wood
ID137,Quauh-huitzihtzil-xochitl,plant,,p069_07,quah-huitzihtzil xochitl,Huitzihtzil/colibri; Quahuitl/tree or wood; Xochitl/flower
ID139,Quauh-patli,plant,09m,,,Patli/medicine; Quahuitl/tree or wood
ID140,Quauh-tzitzicaztli,plant,09k,,,Quahuitl/tree or wood
ID141,Quauh-xiyotl,plant,09g,,,Quahuitl/tree or wood; Xiyotl/young maize ear
ID142,Quauhtla xoxocoyolin,plant,,p032_01,,Quahuitl/tree or wood; Xocotl/sour fruit
ID143,Quetzal-ahuexotl,plant,11a,p106_03,a-huexotl; quetzal ahuexotl,"Quetzal/precious, feathered, or green"
ID145,Quetzal-atzonyatl,plant,10a,p094_01,quetzal-atzo-yatl; quetzal-hatzonyatl,"Quetzal/precious, feathered, or green"
ID147,Quetzal-misquitl,plant,08f; 09m,,quetzal-mizquitl,"Misquitl/mesquite; Quetzal/precious, feathered, or green"
ID148,Quetzal-xoxouca-patli,plant,08j,,quetzal-xoxouhca-patli,"Patli/medicine; Quetzal/precious, feathered, or green; Xocotl/sour fruit"
ID149,Quetzal-xoxouhca-patli tzotzotlani,plant,08j,,tzotzotlani,"Patli/medicine; Quetzal/precious, feathered, or green; Xocotl/sour fruit"
ID150,Te-amoxtli,plant,01a; 05d; 05e; 08b; 08g; 09f; 09p; 09q; 12b,p007_03; p029_02,,Amatl/paper; Te/stone
ID152,Temahuitztih-quahuitl,plant,,p068_01; p069_06,temahuiztih quahuitl,Quahuitl/tree or wood
ID154,Te-memetla,plant,06c,,tememetla,Te/stone
ID155,Teo-amatl,plant,09c; 09d; 09h,,,Amatl/paper; Teo/divine
ID157,Teo-xihuitl v1,plant,07c,,teo-xihuitl,"Teo/divine; Xihuitl/herbs, green leaves"
ID158,Te-papa-quilti-quahuitl,plant,,p069_05,te-papaquilti quahuitl,Quahuitl/tree or wood; Te/stone
ID159,Tepa-quilti xiuhtontli,plant,,p067_04,tepaquilti xiuhtontli,"Xihuitl/herbs, green leaves"
ID160,Tepe-chian,plant,08e; 08f; 08g; 08j; 09b; 09g,,,Tepe/hill or mountain
ID161,Tepe-papalo-quilitl,plant,,p103_01,tepe-papalo quilitl,Papalo/butterfly; Quilitl/edible green; Tepe/hill or mountain
ID163,Tequam-maitl,plant,01d,p010_03,,NA
ID164,Tequixqui-zacatl,plant,02f,p019_02,,Zacatl/grass
ID165,Te-tzapotl,plant,08a; 08b,,,Te/stone
ID166,Te-tzitzicaztli,plant,09k,,,Te/stone
ID167,Te-tzitzilin,plant,10a,p094_03,te-tzilin,Te/stone
ID168,Te-xiyotl,plant,06c; 09p,,,Te/stone; Xiyotl/young maize ear
ID170,Tetezhuatic,plant,06e,,te-tezhuatic,NA
ID171,Tetzmi-nopalli,plant,05g,,,Nopalli/nopal
ID172,Tetzmitl,plant,02f; 09b; 09e; 09l; 09p,p019_01,,NA
ID173,Tetzmi-xochitl,plant,01d; 08d,,,Xochitl/flower
ID174,Texcal-ama-coztli,plant,,p068_03,texcalama-coztli,Amatl/paper; Texcal/stone or cliff
ID176,Tezon-patli,plant,01d,p010_01,,Patli/medicine
ID177,Tohmiyo-xihuitl,plant,,p111_01,tohmiyo xihuitl,"Xihuitl/herbs, green leaves"
ID178,Tolohua xihuitl,plant,03a; 06f; 06g; 07e; 08a; 08i; 08j; 09n,p049_01,tolohua; tolohua-xihuitl; tolova; tolova xihuitl; tolova-xihuitl,"Xihuitl/herbs, green leaves"
ID179,Tlapatl,plant,03a,,,NA
ID180,Tol-patlactli,plant,05d; 09e,p029_03,tol-patlctli,Patli/medicine
ID181,Tomaz-quitl,plant,08l,p069_02,tomazqtl; tomazquitl,NA
ID182,Tonaca-xochitl,plant,10f,p099_02,tonaca xochitl,Xochitl/flower
ID183,Tonal-xochitl,plant,,p067_06,tonal xochitl,Tonalco/sun or heat; Xochitl/flower
ID184,Xiuhuitl tonalco-mochiva hahuachcho,plant,,p012_01,,"Tonalco/sun or heat; Xihuitl/herbs, green leaves"
ID185,Ayauh-tonan-yxiuh,plant,10f,p099_03,ayauh tonan,"Ayauh/mist or fog; Xihuitl/herbs, green leaves"
ID186,Totonqui xochitl,plant,,p067_01; p067_07,,Xochitl/flower
ID187,Topozan,plant,09g,,,NA
ID188,Totec-yxiuh,plant,,p110_03,,"Xihuitl/herbs, green leaves"
ID189,Totoloctzin,plant,10f,p099_01,,NA
ID190,Tlaca-camotli,plant,07d; 09e,,,Tlacatl/person
ID192,Tlaco-amatl,plant,07k,,tlacomatl,Amatl/paper; Tlaco/half or middle
ID193,Tlaco-ecapatli,plant,09l,,tlaco-eca-patli,Ecatl/wind; Tlaco/half or middle
ID194,Tlaco-izqui-xochitl,plant,02b,,,Tlaco/half or middle; Xochitl/flower
ID195,Tlaco-popotli,plant,11c,p108_02,tlaco-popotl; tlaco-poptl,Tlaco/half or middle
