ID,official_name,type,subchapter_code,language,synonym_found,morphemes,illustrations,master_sheet_subchapters_linked
ID041,Teo-iztaquilitl,plant,09b,spanish,teo-iztacuilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,09e,english,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,09e,spanish,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID042,Izqui-xochitl,plant,08l,english,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID042,Izqui-xochitl,plant,08l,spanish,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID042,Izqui-xochitl,plant,09d,english,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID042,Izqui-xochitl,plant,09d,spanish,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID042,Izqui-xochitl,plant,09f,english,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID042,Izqui-xochitl,plant,09f,spanish,izqui-xochitl,Xochitl/flower,p069_09,08l; 09d; 09f
ID043,Tlaco-izqui-xochitl,plant,05e,english,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID043,Tlaco-izqui-xochitl,plant,05e,spanish,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID043,Tlaco-izqui-xochitl,plant,08d,english,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID043,Tlaco-izqui-xochitl,plant,08d,spanish,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID043,Tlaco-izqui-xochitl,plant,08l,english,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID043,Tlaco-izqui-xochitl,plant,08l,spanish,tlaco-izqui-xochitl,Tlaco/half or middle; Xochitl/flower,nan,05e; 08d; 08l
ID044,Quauh-izqui-xochitl,plant,09c,english,quauh-izqui-xochitl,Quahuitl/tree or wood; Xochitl/flower,nan,09c
ID044,Quauh-izqui-xochitl,plant,09c,spanish,quauh-izqui-xochitl,Quahuitl/tree or wood; Xochitl/flower,nan,09c
ID045,Itzquin-patli,plant,07b,english,itzcuinpatli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,07b,spanish,itzcuinpatli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08f,english,itzquin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08f,spanish,itzquin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08j,english,itzcuin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08j,spanish,itzcuin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08k,english,itzcuin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID045,Itzquin-patli,plant,08k,spanish,itzcuin-patli,Patli/medicine,nan,07b; 08f; 08j; 08k
ID047,Ocotl,plant,08l,english,ocotl,Ocotl/pine,nan,08l
ID047,Ocotl,plant,08l,spanish,ocotl,Ocotl/pine,nan,08l
ID048,Oco-xochitl,plant,02b,english,oco-xochitl,Ocotl/pine; Xochitl/flower,nan,02b; 10f
ID048,Oco-xochitl,plant,02b,spanish,nan,Ocotl/pine; Xochitl/flower,nan,02b; 10f
ID048,Oco-xochitl,plant,10f,english,nan,Ocotl/pine; Xochitl/flower,nan,02b; 10f
ID048,Oco-xochitl,plant,10f,spanish,nan,Ocotl/pine; Xochitl/flower,nan,02b; 10f
ID049,Iztac oco-xochitl,plant,01a,english,iztac oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,01a,spanish,iztac oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,07l,english,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,07l,spanish,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,08e,english,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,08e,spanish,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09b,english,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09b,spanish,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09e,english,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09e,spanish,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09q,english,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID049,Iztac oco-xochitl,plant,09q,spanish,iztac-oco-xochitl,Iztac/white; Ocotl/pine; Xochitl/flower,p007_02,01a; 07l; 08e; 09b; 09e; 09q
ID051,Oyametl,plant,08l,english,oyametl,nan,nan,08l
ID051,Oyametl,plant,08l,spanish,oyametl,nan,nan,08l
ID052,Yamanqui patli,plant,09d,english,yamanqui-patli,Patli/medicine,nan,09d
ID052,Yamanqui patli,plant,09d,spanish,yamanqui-patli,Patli/medicine,nan,09d
ID054,Iztauyattl,plant,06i,english,iztauh-yattl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
ID054,Iztauyattl,plant,06i,spanish,iztauh-yattl,Acatl/reed; Iztac/white,nan,06i; 08e; 08j; 08k; 09e; 09q; 10i
